VARIABLES = "x (m)" "y (m)" phi
ZONE I=51 J=21 
0.400000 0.120000 1.13478
0.410000 0.120000 1.11729
0.420000 0.120000 1.10144
0.430000 0.120000 1.08732
0.440000 0.120000 1.07502
0.450000 0.120000 1.06462
0.460000 0.120000 1.05621
0.470000 0.120000 1.04984
0.480000 0.120000 1.04556
0.490000 0.120000 1.04342
0.500000 0.120000 1.04342
0.00000 0.140000 4.62783
0.0100000 0.140000 4.43624
0.0200000 0.140000 4.25234
0.0300000 0.140000 4.07605
0.0400000 0.140000 3.90727
0.0500000 0.140000 3.74587
0.0600000 0.140000 3.59169
0.0700000 0.140000 3.44457
0.0800000 0.140000 3.30430
0.0900000 0.140000 3.17069
0.100000 0.140000 3.04354
0.110000 0.140000 2.92264
0.120000 0.140000 2.80780
0.130000 0.140000 2.69885
0.140000 0.140000 2.59562
0.150000 0.140000 2.49796
0.160000 0.140000 2.40573
0.170000 0.140000 2.31877
0.180000 0.140000 2.23693
0.190000 0.140000 2.16002
0.200000 0.140000 2.08781
0.210000 0.140000 2.02006
0.220000 0.140000 1.95648
0.230000 0.140000 1.89677
0.240000 0.140000 1.84062
0.250000 0.140000 1.78773
0.260000 0.140000 1.73780
0.270000 0.140000 1.69056
0.280000 0.140000 1.64577
0.290000 0.140000 1.60321
0.300000 0.140000 1.56271
0.310000 0.140000 1.52411
0.320000 0.140000 1.48729
0.330000 0.140000 1.45217
0.340000 0.140000 1.41869
0.350000 0.140000 1.38681
0.360000 0.140000 1.35653
0.370000 0.140000 1.32787
0.380000 0.140000 1.30088
0.390000 0.140000 1.27564
0.400000 0.140000 1.25222
0.410000 0.140000 1.23072
0.420000 0.140000 1.21127
0.430000 0.140000 1.19395
0.440000 0.140000 1.17888
0.450000 0.140000 1.16616
0.460000 0.140000 1.15587
0.470000 0.140000 1.14809
0.480000 0.140000 1.14287
0.490000 0.140000 1.14026
0.500000 0.140000 1.14026
0.00000 0.160000 4.73957
0.0100000 0.160000 4.54817
0.0200000 0.160000 4.36505
0.0300000 0.160000 4.19015
0.0400000 0.160000 4.02336
0.0500000 0.160000 3.86453
0.0600000 0.160000 3.71350
0.0700000 0.160000 3.57007
0.0800000 0.160000 3.43402
0.0900000 0.160000 3.30509
0.100000 0.160000 3.18304
0.110000 0.160000 3.06759
0.120000 0.160000 2.95846
0.130000 0.160000 2.85538
0.140000 0.160000 2.75806
0.150000 0.160000 2.66622
0.160000 0.160000 2.57957
0.170000 0.160000 2.49782
0.180000 0.160000 2.42068
0.190000 0.160000 2.34784
0.200000 0.160000 2.27900
0.210000 0.160000 2.21384
0.220000 0.160000 2.15204
0.230000 0.160000 2.09329
0.240000 0.160000 2.03729
0.250000 0.160000 1.98375
0.260000 0.160000 1.93243
0.270000 0.160000 1.88310
0.280000 0.160000 1.83555
0.290000 0.160000 1.78965
0.300000 0.160000 1.74526
0.310000 0.160000 1.70232
0.320000 0.160000 1.66078
0.330000 0.160000 1.62064
0.340000 0.160000 1.58193
0.350000 0.160000 1.54470
0.360000 0.160000 1.50905
0.370000 0.160000 1.47509
0.380000 0.160000 1.44293
0.390000 0.160000 1.41272
0.400000 0.160000 1.38462
0.410000 0.160000 1.35878
0.420000 0.160000 1.33535
0.430000 0.160000 1.31448
0.440000 0.160000 1.29631
0.450000 0.160000 1.28097
0.460000 0.160000 1.26856
0.470000 0.160000 1.25917
0.480000 0.160000 1.25288
0.490000 0.160000 1.24972
0.500000 0.160000 1.24972
0.00000 0.180000 4.86117
0.0100000 0.180000 4.66993
0.0200000 0.180000 4.48764
0.0300000 0.180000 4.31422
0.0400000 0.180000 4.14956
0.0500000 0.180000 3.99350
0.0600000 0.180000 3.84584
0.0700000 0.180000 3.70635
0.0800000 0.180000 3.57476
0.0900000 0.180000 3.45078
0.100000 0.180000 3.33409
0.110000 0.180000 3.22433
0.120000 0.180000 3.12115
0.130000 0.180000 3.02415
0.140000 0.180000 2.93295
0.150000 0.180000 2.84714
0.160000 0.180000 2.76631
